"Воздушная масса: Заданное значение[kg/h]","Давление заряда воздуха, фактическое[mbar]","Давление магистрали, уставка[бар]","Действительное давление в рейке[bar]","Клапан регулировки давления в рейке , активация[%]","Масса воздуха[кг/ч]","Подача активации управляющего клапана [%]","Регулятор нагнетаемого давления , активация[%]","Скорость вращения двигателя[об/мин]","Температура воздуха на впуске[degree C]","Температура двигателя[degree C]","Температура охлаждающей жидкости[degree C]","Температура топлива[degree C]"
"55.92","981.92","315.01","313.68","22.09","62.79","33.04","94.98","719","48.21","86.60","86","56.23"
"55.92","981.92","315.01","318.06","21.99","62.56","32.99","94.98","720","48.21","86.60","86","56.23"
"55.77","981.92","315.01","313.68","22.10","62.49","33.03","94.98","721","48.31","86.60","86","56.23"
"55.24","981.92","315.01","315.88","22.05","62.49","33.03","94.98","721","48.31","86.60","86","56.33"
"55.47","981.92","315.01","313.68","22.12","62.33","33.02","94.98","721","48.41","86.60","86","56.33"
"55.85","981.92","315.01","315.88","22.05","62.56","33.01","94.98","723","48.41","86.60","86","56.33"
"55.92","981.92","315.01","313.68","22.05","62.64","32.95","94.98","718","48.56","86.60","86","56.33"
"55.39","981.92","315.01","315.88","22.05","62.87","33.00","94.98","720","48.56","86.60","86","56.43"
"55.54","981.92","315.01","315.88","22.06","62.79","33.06","94.98","716","48.66","86.60","86","56.43"
"56.23","981.92","315.01","313.68","22.06","62.64","33.01","94.98","720","48.66","86.70","86","56.43"
"55.16","981.92","315.01","313.68","22.06","62.56","33.04","94.98","721","48.75","86.70","86","56.43"
"55.7","981.92","315.01","315.88","22.06","62.49","32.93","94.98","722","48.75","86.70","86","56.43"
"55.7","981.92","315.01","313.68","22.07","62.56","33.01","94.98","718","48.75","86.70","86","56.43"
"55.54","981.92","315.01","315.88","22.05","62.56","32.96","94.98","720","48.85","86.70","86","56.43"
"54.78","981.92","315.01","315.88","22.05","62.49","33.02","94.98","720","48.95","86.80","86","56.43"
"56.23","983.93","315.01","315.88","22.02","62.49","33.01","94.98","722","48.95","86.80","86","56.53"
"55.16","981.92","315.01","313.68","22.11","62.64","32.96","94.98","718","48.95","86.90","86","56.53"
"55.47","981.92","315.01","315.88","22.06","62.33","32.94","94.98","719","49.05","86.90","86","56.53"
"56.08","981.92","315.01","318.06","22.02","62.79","32.93","94.98","721","49.15","86.90","86","56.63"
"55.39","981.92","315.01","313.68","22.06","62.56","32.93","94.98","722","49.15","86.90","86","56.63"
"55.47","981.92","315.01","315.88","22.05","62.79","32.93","94.98","718","49.15","86.90","86","56.63"
"55.47","981.92","315.01","313.68","22.15","62.49","32.88","94.98","718","49.24","86.90","86","56.63"
"55.85","981.92","315.01","313.68","22.11","62.56","32.96","94.98","721","49.34","86.90","87","56.63"
"55.54","981.92","315.01","315.88","22.02","62.56","32.84","94.98","717","49.34","87","87","56.63"
"55.16","981.92","315.01","315.88","22.06","62.49","32.95","94.98","720","49.34","87","87","56.63"
"55.77","983.93","315.01","315.88","22.12","62.49","32.86","94.98","719","49.44","87.10","87","56.63"
"54.63","985.95","315.01","313.68","22.14","61.88","32.98","94.98","724","49.54","87.10","87","56.63"
"54.55","981.92","315.01","313.68","22.12","61.95","32.91","94.98","715","49.54","87.10","87","56.82"
"52.95","985.95","315.01","318.06","22.23","61.49","32.83","94.98","716","49.64","87.10","87","56.82"
"54.47","985.95","315.01","315.88","22.16","61.65","32.94","94.98","717","49.64","87.10","87","56.82"
"53.48","989.97","315.01","315.88","22.18","61.19","32.86","94.98","719","49.73","87.20","87","56.92"
"54.4","989.97","315.01","315.88","22.18","61.19","32.91","94.98","721","49.73","87.20","87","56.82"
"60.27","981.92","403.07","373.1","25.04","91.10","32.84","94.98","1352","49.83","87.20","87","56.82"
"77.36","1079.97","315.01","291.71","23.93","75.46","35.06","94.98","760","50.13","87.20","87","56.92"
"104.45","1041.98","521.27","516.09","28.17","130.69","33.37","80.59","1616","50.23","87.20","87","56.92"
"69.73","1122.91","315.01","309.28","23.52","73.85","33.79","94.86","742","50.62","87.20","87","56.92"
"57.37","1043.99","315.01","315.88","23.56","64.39","33.55","94.98","721","50.52","87.30","87","56.92"
"54.47","1015.97","315.01","313.68","23.55","62.26","33.57","94.98","721","50.52","87.30","87","56.92"
"55.24","1002.97","315.01","313.68","23.64","61.57","33.45","94.98","718","50.52","87.40","87","56.92"
"54.4","998.95","315.01","315.88","23.56","61.26","33.47","94.98","720","50.62","87.50","87","56.92"
"54.63","994.92","315.01","315.88","23.55","61.19","33.57","94.98","721","50.62","87.50","87","56.92"
"53.86","994.92","315.01","313.68","23.56","61.49","33.58","94.98","718","50.62","87.50","87","57.02"
"54.17","994.92","315.01","315.88","23.55","60.65","33.46","94.98","726","50.72","87.70","87","56.92"
"54.78","994.92","315.01","315.88","23.59","61.04","33.50","94.98","719","50.81","87.80","87","57.02"
"54.09","994.92","315.01","315.88","23.58","61.04","33.45","94.98","720","50.81","87.80","87","57.02"
"53.56","992.99","315.01","315.88","23.56","61.04","33.48","94.98","715","50.81","87.90","87","57.02"
"53.94","989.97","315.01","315.88","23.47","62.18","33.52","94.98","721","50.91","87.90","88","57.02"
"55.39","989.97","315.01","315.88","23.55","62.56","33.55","94.98","718","51.06","87.90","88","57.12"
"55.39","989.97","315.01","313.68","23.56","61.80","33.40","94.98","719","51.06","88","88","57.12"
"54.86","985.95","315.01","315.88","23.51","61.26","33.41","94.98","709","51.06","88","88","57.02"
"53.94","987.96","315.01","313.68","23.52","60.96","33.55","94.98","716","51.26","88","88","57.02"
"53.94","989.97","315.01","313.68","23.57","60.96","33.39","94.98","739","51.35","88.10","88","57.12"
"55.24","989.97","315.01","315.88","23.52","60.58","33.41","94.98","699","51.35","88.10","88","57.12"
"65.38","981.92","398.38","390.67","25.22","85.98","33.37","94.98","1209","51.35","88.20","88","57.12"
"123.14","1084.91","600.87","575.46","30.63","151.06","33.37","94.98","1717","51.75","88.20","88","57.12"
"170.98","1278.92","698.29","692.05","31.89","207.83","33.29","94.98","2006","52.43","88.20","88","57.21"
"223.24","1413.96","805.37","790.99","33.75","283.28","31.85","89.24","2457","52.92","88.20","88","57.31"
"205.77","1558.98","731.38","641.49","34.96","225.07","33.33","94.98","1662","53.51","88.30","88","57.31"
"192.26","1556.97","795.16","762.37","35.12","233.77","33.28","94.98","1861","53.85","88.30","88","57.41"
"219.73","1567.95","812.45","819.56","34.74","274.74","32.82","94.98","2144","54.35","88.40","88","57.56"
"251.93","1573.9","858.36","856.94","35.14","313.88","32.04","94.98","2429","54.74","88.60","88","57.56"
"282.14","1571.98","961.54","964.75","47.02","354.77","38.24","94.98","2717","55.33","88.70","89","57.66"
"303.96","1549.92","705.47","709.6","40.67","360.19","39.91","65.38","2532","55.91","88.90","89","57.76"
"223.24","1631.95","813.05","812.96","43.79","268.94","38.90","94.98","2007","56.55","89.10","89","57.76"
"235.68","1614.92","849.26","854.77","44.25","286.03","38.72","94.98","2124","56.75","89.30","89","57.76"
"244.3","1609.98","827.57","839.38","43.20","301.06","38.68","94.98","2243","57.04","89.50","89","57.85"
"222.48","1408.92","354.96","357.67","33.68","252.77","42.25","67.68","2133","57.04","89.70","89","58.05"
"168.84","1314.99","339.69","331.29","33.81","183.18","41.62","94.98","1586","57.04","89.90","90","57.85"
"126.04","1184.98","320.40","322.46","33.57","142.44","42.37","94.98","1469","56.94","90","90","57.76"
"105.44","1118.97","310.56","318.06","33.37","116.88","42.46","94.92","1319","56.85","90.20","90","57.66"
"96.36","1073.93","307.40","298.29","33.46","107.19","42.03","94.98","1270","56.94","90.40","90","57.56"
"90.87","1049.94","305.29","307.08","33.41","100.56","41.90","94.98","1230","56.85","90.40","90","57.56"
"87.74","1037.95","306.75","304.96","33.46","97.73","42.19","94.98","1192","56.85","90.50","90","57.56"
"84.84","1032.91","310.56","322.46","33.66","92.16","42.45","94.98","1075","56.85","90.50","90","57.56"
"76.52","1024.95","315.01","307.08","33.79","84.08","41.83","94.98","928","56.65","90.40","90","57.56"
"73.93","1002.97","314.42","324.71","33.73","84.69","42.40","94.98","992","56.36","90.20","90","57.56"
"63.78","1011.95","315.01","329.09","33.74","65.23","42.61","94.98","730","56.26","90.20","90","57.56"
"56.53","998.95","315.01","320.4","33.64","64.16","42.64","94.98","749","56.01","90","89","57.56"
"60.96","985.95","315.01","320.4","33.69","70.57","42.78","94.98","808","55.82","90","89","57.66"
"61.8","989.97","315.01","313.68","33.66","68.67","42.61","94.98","805","55.52","89.90","89","57.66"
"59.43","989.97","315.01","315.88","33.66","66.68","42.84","94.98","734","55.42","89.90","89","57.76"
"55.92","989.97","315.01","313.68","33.74","62.94","42.56","94.98","728","55.33","89.80","89","57.76"
"54.63","985.95","315.01","313.68","33.75","62.03","42.40","94.98","718","55.23","89.80","89","57.76"
"54.93","985.95","315.01","313.68","33.80","61.80","42.47","94.98","701","55.23","89.80","89","57.85"
"52.49","989.97","315.01","313.68","33.71","60.43","42.49","94.98","715","55.03","89.80","89","57.85"
"54.47","989.97","315.01","313.68","33.82","61.65","42.24","94.98","724","55.03","89.80","89","57.85"
"53.48","994.92","315.01","309.28","33.77","61.34","42.31","94.98","719","55.03","89.80","89","58.05"
"54.09","994.92","315.01","315.88","33.92","61.49","42.09","94.98","717","55.03","89.70","89","58.05"
"54.17","994.92","315.01","315.88","33.79","61.49","42.51","94.98","722","55.03","89.60","89","58.05"
"53.64","994.92","315.01","318.06","33.84","61.34","42.61","94.98","717","55.03","89.60","89","58.05"
"53.64","994.92","315.01","315.88","33.66","61.65","42.47","94.98","722","55.03","89.60","89","58.05"
"56.76","987.96","399.27","364.38","36.69","89.57","38.72","94.98","1378","55.03","89.60","89","58.05"
"133.29","1105.97","627.66","634.88","40.85","165.03","39.08","94.98","1785","55.42","89.60","89","58.05"
"178.76","1314.99","709.78","702.97","42.19","221.56","39.01","94.98","2055","56.16","89.50","89","58.15"
"227.89","1419.91","819.79","812.96","44.59","290.46","37.74","94.98","2523","56.75","89.50","89","58.25"
"245.06","1513.94","594.38","542.46","40.50","229.57","37.34","94.98","1748","57.34","89.40","89","58.34"
"193.79","1558.98","766.50","747","43.29","230.79","38.57","94.98","1875","57.73","89.50","89","58.44"
"219.04","1560.9","814.47","810.76","43.98","271.99","38.43","94.98","2136","58.22","89.60","89","58.44"
"250.25","1569.97","844.76","856.94","44.91","306.78","38.09","94.98","2383","58.51","89.70","89","58.44"
"254.14","1592.95","792.00","821.65","43.56","270.77","39.46","94.98","1756","59.05","89.90","90","58.54"
"205.77","1641.93","824.95","784.41","44.51","246.28","39.09","94.98","1809","59.25","90.10","90","58.64"
"213.24","1620.96","835.66","839.38","44.14","259.63","39.02","94.98","1931","59.35","90.30","90","58.64"
"223.09","1616.94","827.29","826.19","44.08","275.35","38.53","94.98","2053","59.64","90.50","90","58.64"
"234.99","1620.96","832.17","835.06","44.44","295.49","38.42","94.98","2184","59.74","90.80","91","58.64"
"250.32","1622.98","845.18","856.94","44.73","311.05","38.28","94.98","2285","59.84","90.90","91","58.64"
"260.17","1622.98","877.38","881.07","45.37","324.86","38.44","94.98","2398","60.03","91.10","91","58.74"
"271.15","1622.98","911.16","909.78","45.96","340.73","38.20","93.01","2510","60.23","91.20","91","58.74"
"291.83","1575.92","588.37","571.08","39.06","334.94","38.32","94.98","2445","60.33","91.30","91","58.74"
"229.57","1592.95","811.49","843.76","43.76","272.98","39.63","94.98","2011","60.62","91.40","91","58.74"
"225.83","1641.93","822.98","823.99","44.33","276.26","38.81","94.98","2033","60.62","91.60","91","58.74"
"233.39","1648.98","822.89","828.39","44.34","287.78","38.76","94.98","2093","60.62","91.60","91","58.74"
"244.14","1609.98","347.37","300.59","33.98","259.56","42.08","80.48","2075","60.52","91.70","91","58.64"
"168.76","1321.95","339.41","326.92","34.18","178.84","41.96","94.98","1531","60.03","91.70","91","58.64"
"125.96","1173.91","321.18","326.92","34.05","142.29","42.52","94.98","1514","59.84","91.70","91","58.54"
"119.78","1118.97","319.39","320.4","34.10","133.59","42.68","94.98","1485","59.64","91.80","91","58.44"
"114.82","1101.94","346.50","348.98","34.61","130.46","42.24","94.98","1470","59.35","91.80","91","58.44"
"112.54","1092.97","349.30","348.98","34.57","123.06","42.36","94.55","1400","59.15","91.70","91","58.34"
"103.46","1079.97","349.89","355.46","34.58","115.05","42.33","94.53","1354","58.96","91.70","91","58.25"
"99.26","1069.99","349.99","351.09","34.69","111.24","42.35","94.58","1332","58.51","91.70","91","58.25"
"96.13","1062.94","312.67","318.06","33.84","109.25","41.46","94.59","1313","58.32","91.60","91","58.25"
"91.33","1066.97","305.06","285.2","33.69","102.54","41.14","94.87","1276","58.12","91.40","91","58.25"
"91.17","1054.98","305.79","300.59","33.58","100.33","41.70","94.98","1204","57.83","91.20","90","58.25"
"85.3","1049.94","336.89","346.68","34.32","93.23","42.08","94.98","1070","57.53","91","90","58.15"
"75.99","1037.95","347.60","342.28","34.64","83.92","42.04","94.98","933","57.34","90.80","90","58.15"
"77.13","1011.95","349.57","346.68","34.68","90.87","41.89","94.98","1136","56.94","90.60","90","58.15"
"81.25","1020.92","349.89","357.67","34.77","89.65","41.98","94.98","1065","56.65","90.40","90","58.15"
"76.98","1020.92","349.99","342.28","34.70","83.92","41.94","94.98","933","56.55","90.30","90","58.15"
"74.69","1004.99","349.99","357.67","34.68","90.03","42.19","94.98","1121","56.16","90.10","89","58.15"
"77.06","1015.97","349.99","340.17","34.65","83.85","42.11","94.98","941","56.01","90","89","58.05"
"61.88","1015.97","315.01","322.46","33.89","64.09","41.94","94.98","725","55.82","89.80","89","58.05"
"56.69","1002.97","315.01","311.48","33.78","64.24","42.23","94.98","750","55.52","89.70","89","58.05"
"57.37","994.92","315.01","313.68","33.83","63.32","42.23","94.98","720","55.33","89.50","89","58.15"
"54.86","989.97","315.01","315.88","33.69","62.94","41.99","94.98","805","55.23","89.50","89","58.15"
"80.87","1002.97","365.67","377.48","34.96","91.63","41.31","94.37","1175","55.23","89.40","89","58.25"
"88.96","1064.96","371.50","370.9","35.32","99.56","40.06","94.98","1231","55.33","89.40","89","58.15"
"90.49","1116.96","410.89","417.09","35.94","102.08","40.79","94.98","1194","55.42","89.30","89","58.25"
"105.67","1133.99","545.40","557.9","38.92","119.63","39.87","94.98","1294","55.62","89.20","89","58.25"
"126.19","1242.94","623.39","652.47","40.44","149.46","39.35","94.98","1526","55.82","89.20","89","58.25"
"157.24","1344.93","661.39","661.26","41.14","190.43","38.85","94.98","1722","55.91","89.10","89","58.25"
"194.63","1462.94","739.25","747","42.87","239.49","38.51","94.98","1979","56.16","89.10","89","58.34"
"227.89","1532.98","800.96","804.18","43.76","284.28","38.14","94.98","2242","56.36","89.10","89","58.34"
"258.95","1571.98","881.16","883.36","45.31","326.47","37.84","94.98","2486","56.75","89.20","89","58.44"
"297.09","1605.95","1006.56","1010.85","47.92","377.89","37.29","93.27","2783","57.04","89.20","89","58.44"
"327.23","1575.92","422.98","511.66","35.28","366.44","42.03","50.01","2382","57.43","89.30","89","58.54"
"213.4","1423.94","715.26","696.46","42.87","239.03","38.24","94.98","1976","57.63","89.50","89","58.54"
